X,Y,Trajectory
676.311735,612.884078,0
676.391268,613.064880,0
676.470695,613.245727,0
676.550003,613.426626,0
676.629179,613.607582,0
676.708211,613.788601,0
676.787087,613.969688,0
676.865793,614.150850,0
676.944318,614.332091,0
677.022649,614.513419,0
677.100783,614.694832,0
677.178748,614.876321,0
677.256575,615.057870,0
677.334299,615.239465,0
677.411950,615.421092,0
677.489563,615.602735,0
677.567170,615.784381,0
677.644803,615.966015,0
677.722496,616.147623,0
677.800281,616.329189,0
677.878190,616.510701,0
677.956257,616.692142,0
678.034514,616.873499,0
678.112994,617.054758,0
678.191730,617.235903,0
678.270754,617.416921,0
678.350099,617.597796,0
678.429797,617.778515,0
678.509865,617.959070,0
678.590284,618.139470,0
678.671032,618.319724,0
678.752089,618.499842,0
678.833431,618.679832,0
678.915037,618.859706,0
678.996886,619.039471,0
679.078955,619.219139,0
679.161224,619.398718,0
679.243669,619.578218,0
679.326270,619.757649,0
679.409005,619.937020,0
679.491852,620.116340,0
679.574789,620.295620,0
679.657794,620.474869,0
679.740847,620.654097,0
679.823924,620.833312,0
679.907004,621.012525,0
679.990066,621.191746,0
680.073094,621.370980,0
680.156086,621.550229,0
680.239042,621.729493,0
680.321963,621.908773,0
680.404848,622.088067,0
680.487696,622.267378,0
680.570509,622.446703,0
680.653285,622.626045,0
680.736025,622.805402,0
680.818729,622.984776,0
680.901396,623.164166,0
680.984027,623.343571,0
681.066621,623.522994,0
681.149179,623.702433,0
681.231700,623.881889,0
681.314183,624.061361,0
681.396631,624.240851,0
681.479041,624.420358,0
681.561414,624.599882,0
681.643749,624.779424,0
681.726048,624.958983,0
681.808313,625.138558,0
681.890548,625.318147,0
681.972754,625.497750,0
682.054936,625.677364,0
682.137097,625.856989,0
682.219240,626.036621,0
682.301368,626.216261,0
682.383484,626.395907,0
682.465592,626.575556,0
682.547695,626.755208,0
682.629796,626.934860,0
682.711898,627.114513,0
682.794004,627.294163,0
682.876118,627.473809,0
682.958243,627.653451,0
683.040381,627.833085,0
683.122537,628.012712,0
683.204714,628.192329,0
683.286914,628.371935,0
683.369141,628.551528,0
683.353933,628.579296,0
683.338599,628.606999,0
683.323144,628.634640,0
683.307575,628.662223,0
683.291897,628.689751,0
683.276118,628.717227,0
683.260243,628.744654,0
683.244278,628.772035,0
683.228230,628.799373,0
683.212104,628.826672,0
683.195908,628.853935,0
683.179646,628.881164,0
683.163325,628.908363,0
683.146952,628.935536,0
683.130533,628.962685,0
683.114073,628.989813,0
683.097579,629.016924,0
683.081058,629.044020,0
683.064514,629.071106,0
683.047955,629.098183,0
683.031387,629.125256,0
683.014815,629.152327,0
682.998246,629.179400,0
682.981687,629.206477,0
682.965142,629.233562,0
682.948620,629.260658,0
682.932124,629.287768,0
682.915663,629.314895,0
682.899242,629.342043,0
682.882866,629.369215,0
682.866544,629.396413,0
682.850279,629.423641,0
682.834080,629.450902,0
682.817951,629.478199,0
682.801899,629.505536,0
682.785930,629.532915,0
682.770051,629.560339,0
682.754267,629.587813,0
682.738585,629.615338,0
682.723011,629.642919,0
682.707551,629.670558,0
682.692212,629.698258,0
682.676998,629.726023,0
682.661917,629.753856,0
682.646975,629.781759,0
682.632178,629.809736,0
682.617532,629.837791,0
682.603044,629.865926,0
682.588718,629.894144,0
682.574558,629.922447,0
682.560561,629.950832,0
682.546725,629.979298,0
682.533050,630.007844,0
682.519534,630.036469,0
682.506175,630.065172,0
682.492971,630.093950,0
682.479922,630.122803,0
682.467024,630.151730,0
682.454277,630.180728,0
682.441679,630.209798,0
682.429229,630.238936,0
682.416925,630.268143,0
682.404765,630.297417,0
682.392748,630.326756,0
682.380871,630.356159,0
